Book ID,Comment ID,Username,Stars,Content,Likes
BOOK_J4W3YTU4KZ,COMMENT_BEC2YL4BW1,Joanne,5,"Brilliant, it’s been awhile since I gave a 5⭐️ Rating but this book is deservingly so. Fabulous, had me hook from start to finish. I loved the approach by the author. This isn’t your typical who done it. From the start you know who and how but keep reading cause it’s just the tip,of the iceberg and all will be revealed in the most unexpected way, totally blew me away. 👏👏👏👏👏👏👍👍👍😎 btw the ending —HEARTBREAKING!",10
BOOK_J4W3YTU4KZ,COMMENT_FTDT8LEU6L,Pavel Sikora,3,"I liked the concept of us—the readers—watching both sides (the “bad guys” as well as the “good guys”), not really being able to decide who do we want to win. It didn't really matter that we knew from the start what had happened (or did we?). However, even if the book was a nice read, to say Keigo Higashino is the “Japanese Stieg Larsson” is—I think—a bit too bold.",1
BOOK_J4W3YTU4KZ,COMMENT_0VZD59WZWP,Jiwoo Kim,4,"The Devotion of Suspect X is a detective fiction book by Keigo Higashino. I like this book because it is different from the other detective fiction book. The normal detective fiction books are the reader read the story about the person who follows the suspect or the suspect, but this book is the reader read the story about the person close to the suspect. The story is focused on the suspect's side. The three reasons why I can focus on the book more than the other books that I read before are the simile, mood, and foreshadowing that the author used in the book. The first thing that I like about this book is the simile. The author use simile to create mood, which the second thing that I like about in the book. In the book, “The man looked around the shop, both hands thrust into the pockets of his dark navy windbreaker, like a prospective customer trying to figure out what he should buy”. In this sentence, the author use simile to create the mood of the man. Example for the foreshadowing is this, “She had only recently learned that he taught math when she happened to notice outside his apartment door a bundle of old math textbooks, wrapped in string and awaiting disposal”. This means that Ishigami is smart enough to teach math and this will go to affect her. I recommend this book to the young adult age people and adults because this book is complicated for the young age. Or I recommend this book to the people who want to try another style of detective noble.",0
BOOK_J4W3YTU4KZ,COMMENT_U5YIEGPH60,Mimi Wolske,5,"Letting the reader learn everything about the muder -- the why, who, and how -- in the first couple of chapters isn't new. Yasuko and her daughter, Misato, killed the husband/father. Then, their neighbor, Ishigami, calls and offers to help them bury the body.How'd he know?Well, it's Ishigami’s brilliant cover-up that drives the story forward! OMGosh! Brilliant writing!Anyway, Detective Kusanagi of the Edogawa police and his friend, Yukawa, a friend and a genius who sometimes helps the police, battle to find the truth surrounding Togashi’s murder.The truth they try to prove is that Yasuko's story is a lie.We readers see fragments of Ishigami’s plan... At first it seems simplistic; even sort of careless. However, we discover all too soon it's actually quite a deceptive plan and it's pretty complex.Oh, yeah, Ishigami is a mathematical genius and he's a logical thinker and even tells mother and daughter that logic will get them through everything... yes, he actually applies math ideas to their problem like in that TV series ""Numb3rs"".I totally, 110% recommend this book to those who love mysteries.",0
BOOK_J4W3YTU4KZ,COMMENT_9X6DTAX3DE,Nisa,4,"I like the storyline. The author knows how to direct the reader into a situation though the situation was overwhelmed and complicated. Initially, mysterious then complicated in the middle and solved by the end. Not only that, I appreciate each value in each situation that the author describes. Thank you! I love this",0
BOOK_J4W3YTU4KZ,COMMENT_U0627WNDO5,Seojung Choi,5,this,0
BOOK_J4W3YTU4KZ,COMMENT_CN246IV43L,Budi Amir,4,Very interesting and detailed investigation,0
BOOK_J4W3YTU4KZ,COMMENT_HGGYECME6U,Matthew,3,Felt like a distinctly different murder mystery/thriller. I enjoyed the interplay between the characters and really felt for the main people. However the ending hurt.,0
BOOK_J4W3YTU4KZ,COMMENT_1LUE24C9W3,eisha sarkar,5,"These books got me through Covid 19, through sickness and fatigue, a fortnight of quarantine. So grateful to the author!",0
BOOK_J4W3YTU4KZ,COMMENT_30R9LXC1E9,Alice Nguyen,5,"Personally, this is the greatest book of Keigo I've ever read. Highly recommend it 🙆📘",0
BOOK_J4W3YTU4KZ,COMMENT_RJODFSB96P,Doris,4,Amazing book!,0
BOOK_J4W3YTU4KZ,COMMENT_RUJXBB6GCT,Sangeet,4,salvation of a saint was the best amongst the three. To know the murderer from the start but what is the motive???,0
BOOK_J4W3YTU4KZ,COMMENT_MY8FDYZA8M,Shubhadeep Bhattacharyya,5,One of the best detective novels out there. Outstanding storytelling.,0
BOOK_J4W3YTU4KZ,COMMENT_7H5RH2VIU1,Avishek Gupta,4,All three books are brilliant and amazing with fantastic Plot twist. Must read for thriller lovers.,0
BOOK_J4W3YTU4KZ,COMMENT_J7KRWHMF6C,Hermance,5,I highly recommend Devotion of Suspect X. This book is so good! I loved everything about it! Keigo Higashino is a master of thriller.,0
BOOK_J4W3YTU4KZ,COMMENT_6YUTAMGPD2,Samiksha Shrivastav,4,0,0
BOOK_J4W3YTU4KZ,COMMENT_EV9BIZRJJN,An Nguyễn,5,0,0
BOOK_J4W3YTU4KZ,COMMENT_HVQ8QLUEZD,Suzieana,5,0,0
BOOK_J4W3YTU4KZ,COMMENT_STGWDMMCY9,silviana siauw,5,0,0
BOOK_J4W3YTU4KZ,COMMENT_UWZC2LQ3XU,Judy Chen,5,0,0
BOOK_J4W3YTU4KZ,COMMENT_8NHUMIMR0R,Adarsh,4,0,0
BOOK_J4W3YTU4KZ,COMMENT_UFJ1AA7840,An Nguyen,5,0,0
BOOK_J4W3YTU4KZ,COMMENT_ZW4FTEY2C0,David,3,0,0
BOOK_J4W3YTU4KZ,COMMENT_RYU8PK4V0F,Ashesh,3,0,0
BOOK_J4W3YTU4KZ,COMMENT_JF34QM5Y28,Glenda,5,0,0
BOOK_J4W3YTU4KZ,COMMENT_VYXDUI594X,YuetLin,4,0,0
BOOK_J4W3YTU4KZ,COMMENT_TX63W66HLJ,Binhtran135,4,0,0
BOOK_J4W3YTU4KZ,COMMENT_PNO1YDZ4RJ,Janar,5,0,0
BOOK_J4W3YTU4KZ,COMMENT_RE3G2SBJN2,Kamal Chopra,4,0,0
BOOK_J4W3YTU4KZ,COMMENT_41RMECRHUX,Rifqi Arya,4,0,0
BOOK_YP9SPNM1UQ,COMMENT_3E1DI3S4KK,Jesse (JesseTheReader),0,"I loved this book so much! It has everything that I love in a book. The way in which it weaves the story together connecting all the characters was what completely won me over. All the characters are given such detailed backgrounds that they feel real. I didn't love the way in which some of the advice was being worded by the boys sending out the advice letters, but it was realistic to the situation at hand. I'm so thrilled that this one was a win for me!",532
BOOK_YP9SPNM1UQ,COMMENT_FHGDGYGZD2,Em Lost In Books,5,"Three thieves find themselves taking shelter in an abandoned general store after a robbery. Soon a leeter was dropped in the store seeking store owner's advice about some dilemma that a young woman was facing at that time in her life. Thieves after a heated discussion decides to help the young woman by answering her questions, thus starting a chain of questions and answers that takes the reader back and forth in time in the life of different people who at some point dropped a letter in the store in search of answers to their questions. Many characters were introduced throughout the story. Some of their stories left me with teary eyes while others put a smile on my face. Despite many arcs in story everything was tied up neatly in the end making it a very satisfying read for me. This was my second book by the author and this was a complete opposite of Malice. He dealt with human emotions so differently here than Malice, and I am in awe of him how he tells his stories. And that makes me want to read another of his book sooner. Highly recommended.",127
BOOK_YP9SPNM1UQ,COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),4,"Thanks Teck for recommending this book! Omg this actually made me cry a few times which is a first!!~ Quick Summary ~Three delinquents hide out in an old abandoned general store where they exchange letters with people from the past who are seeking life advice and unexpectedly become life coaches 😆. ~ Pick this up if you enjoy/don’t mind ~✨ Magic Realism 😢 Emotional and touching stories 🐢 Slower pace😆 Some comedy📚 ""the Housekeeper and the Professor” (I definitely enjoyed Namiya more!!)~ What I loved ~I loved the use of different POV and timelines because of how they connected. First we were introduced to the delinquents who stumbled upon the magical store and their first letter. I was disappointed when we changed POV but seeing the letter and from a different perspective was actually quite hilarious because it was so brutally honest and I could imagine the delinquents blabbering about what to write. This was very touching. The people seeking advice were normal, everyday people so they were relatable and it was easy to connect. The lessons that the characters learned were actually so amazing and touching. There were 3 moments that made me unexpectedly emotional. I even cried and that is rare!~ What I didn’t enjoy ~The stories were a little boring to begin with, but when the characters learn, develop and think about the advice, it does get interesting and tug at the heartstrings. As there are quite a few stories in there, we have to go back to the beginning to introduce the characters and their stories. So going through that process multiple times does slow down the pace for me.",74
BOOK_YP9SPNM1UQ,COMMENT_DLHM9VXTU3,Liong,5,"An exciting and touching story.A story tells another story. When I read the second chapter, I thought I read a new story. They are related. The author can tell a complicated mystery smoothly and randomly.I enjoyed reading it slowly. No wonder this book is rated so high. One of the best fiction I ever read.Great storybook.",64
BOOK_YP9SPNM1UQ,COMMENT_SIAY5XPMI2,STEPH,5,"For me; There is something special about books that could REALLY make me cry. This book hit all the right marks. It aimed, targeted and shot me through the heart. And I’m still trying to recover from it as I am writing this review.I wonder how my life would be if I drop a letter to the Namiya General Store. Who’s going to answer my life’s quandary? Mr. Namiya or the three burglars? This novel kind of reminded me of Before The Coffee Gets Cold because of its magical connection with TIME. Completely unrelated in terms of the premise but reading Japanese books is slowly becoming the norm for me. They bring a different colour to my reading experience.I completely and hands down reccommend this book to everyone. One little reminder, though. YOU WILL LIKELY CRY SO BRACE YOURSELF!",51
BOOK_YP9SPNM1UQ,COMMENT_O6GW899QGU,Divine,5,"""You are not just here to fill space or be a background character in someone else's movie. Consider this: nothing would be the same if you did not exist. Every place you have ever been and everyone you have ever spoken to would be different without you. We are all connected, and we are all affected by the decisions and even the existence of those around us."" --David Niven

 This was truly a heartwarming yet tear-inducing read reminiscent of the quaint magic Studio Ghibli films always have. No one would expect that Keigo Higashino, a resident powerhouse of the Japanese crime fiction genre, would be the genius behind this masterpiece. However, I noticed that all of his books always examine the value of filial love and have a heartfelt theme despite the fact that the story centers on a murder. The Miracles of the Namiya General Store follows this theme as well and fleshes out the lives of the letter senders in the past and weaves it into an intertwining tapestry of human relationships transcending time. At times, I was frustrated with the three delinquents' brash ignorance and I wished that their personal stories were also examined more. However, they had developed by the end quite well and I was really touched with their reflections brought by the magic pervading in the store. I really felt elated and full of love while reading this book! It really emphasized how our words influence the course of people's lives without really knowing the magnitude of its effects on them. This is by far one of my favorite pieces from Keigo Higashino, and I'm now sure of the fact that he's my favorite author of the year. P.S. There's also a movie released in 2017 so I'm off to watch it now and cry all over again HAHAHA.P.P.S. I just finished watching the movie and I loved it especially when the song Reborn was performed huhuhuh I still love the book more though as it's more nuanced and contemplative.",47
