Comment ID,Username,Date,Content
COMMENT_3E1DI3S4KK,elise,"May 05, 2020 05:46PM",Glad you liked it! I really liked the movie 😊
COMMENT_3E1DI3S4KK,Alex,"May 05, 2020 06:20PM",That is it. I'm going to read this too!
COMMENT_3E1DI3S4KK,Julie,"May 05, 2020 08:11PM",Welp! Now I'm sold!
COMMENT_3E1DI3S4KK,Fayzaan,"May 06, 2020 01:26PM",Currently reading this and I can totally agree with you. This book is so good man !
COMMENT_3E1DI3S4KK,MYA,"May 07, 2020 03:06PM",I HAVE to read this book
COMMENT_3E1DI3S4KK,Amarnath,"May 13, 2020 11:12PM","didn't expect such a one from Keigo Higashino as i have heard more of his thriller books and read only one of those, which was superb."
COMMENT_3E1DI3S4KK,Maple,"May 20, 2020 04:49AM",This seems REALLY intresting. Im gonna put it in my TBR. Also your youtube video's are really good :)
COMMENT_3E1DI3S4KK,Rowena,"Mar 14, 2021 03:33PM","Thanks for the recommendation, jesse. Now i got another month of sleep deprivation. Its worth it so win win for me"
COMMENT_3E1DI3S4KK,Neha,"May 15, 2021 11:40PM",I literally came for this book coz Jesse mentioned liking it in a video I just watched
COMMENT_3E1DI3S4KK,Curry,"Sep 17, 2021 07:18AM",JESSE I JUST FINISHED IT AND IM CRYING IT IS SO GOOD BETTER THAN I EXPECTED
COMMENT_FHGDGYGZD2,Bookworm,"Jan 22, 2022 04:43AM","I haven't read Malice, sounds interesting. Added to my TBR.Looking forward to your review of this one!"
COMMENT_FHGDGYGZD2,Em Lost In Books,"Jan 26, 2022 05:12AM",its worth reading. :)
COMMENT_FHGDGYGZD2,Bookworm,"Jan 26, 2022 05:20AM",Added. In the span of a week. I have read 2 Higashino and added 3 in my tbr. He's creeping up on me.
COMMENT_FHGDGYGZD2,carol.,"Mar 02, 2022 08:28AM",Thanks for the review! I've requested it from the library. He's such an interesting writer.
COMMENT_FHGDGYGZD2,Em Lost In Books,"Mar 03, 2022 02:31AM","Hope you have a great time with this. And yes, I am glad he didn't restrict himself to mystery genre."
COMMENT_FHGDGYGZD2,Maiden Misty's,"Mar 07, 2022 07:50AM",Fantastic review Em 💜✨
COMMENT_BJHMEK9YJN,©hrissie ❁ [on studying hiatus till June],"Nov 15, 2021 03:08AM","Great review, Joanna! You sold it to me 😁"
COMMENT_BJHMEK9YJN,Chantel,"Nov 15, 2021 04:47AM","Nice review, Joanna :) Sounds like an interesting read!"
COMMENT_BJHMEK9YJN,Jen,"Nov 15, 2021 12:33PM","Wonderful review Joanne. I feel like this is one of those books I'd need to be in a very specific mood to read, much like Anxious People. Otherwise my cynical cold dead heart would be prone to finding it too saccharine. When the right mood hits though, this sounds like it would be perfect."
COMMENT_BJHMEK9YJN,Yun,"Nov 15, 2021 06:18PM","Great review, Joanna! Yay glad this book gave you all the feels and you very much enjoyed! Sounds like a heartwarming story! :)"
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:06AM",@Chrissie - Thank you so much! Please let me know your thoughts if you do pick it up!
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:06AM","@Chantel - Thank you, yep it was. Its very different to my usual reads!"
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:07AM",@Jen - Haha yes I need to be in a very specific mood as well! I felt like reading a touching book. Else normally I wouldnt want to risk reading a slower paced book lol!
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Nov 16, 2021 01:08AM","@Yun - Thank you so much! :) Last time I had that heartwarming feeling was from Project Hail Mary, so it was nice to get that again with Namiya! :)"
COMMENT_BJHMEK9YJN,Kay,"Nov 16, 2021 03:21AM",Amazing review! I'll keep this in mind when I want a good cry. 💕
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Nov 17, 2021 12:46AM",Thank you so much Kay! Let me know if you do cry xD
COMMENT_BJHMEK9YJN,Ellie,"Nov 20, 2021 08:57AM",Wonderful review Joanna! I do love books with multiple POV's and ones that trigger strong emotions so I will keep an eye out for this one 🥰
COMMENT_BJHMEK9YJN,Kat,"Nov 20, 2021 10:47AM","I love magical realism done right, and this sounds like it just might be! Awesome review, Joanna."
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Nov 20, 2021 03:03PM",@Ellie - Thank you so much! Please let me know if you do pick this up!!
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Nov 20, 2021 03:04PM",@Kat - Thank you!! I don't normally read magical realism or slower paced books but this one got me!! Let me know if you do pick this one up!
COMMENT_BJHMEK9YJN,Jayson,"Nov 20, 2021 03:21PM",Awesome review
COMMENT_BJHMEK9YJN,Meredith (Slowly Catching Up),"Nov 21, 2021 05:12PM","Fantastic review, Joanna! Glad you enjoyed!"
COMMENT_BJHMEK9YJN,MarilynW,"Nov 21, 2021 07:55PM","Fabulous review, Joanna...sounds very interesting 😊"
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Nov 22, 2021 12:56AM",@Jayson - Thank you :)
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Nov 22, 2021 12:56AM",@Meredith - Thank you! Definitely not everyday I enjoy a slower paced book!
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Nov 22, 2021 12:56AM",@Marilyn - Thank you :). Definitely a different one!!
COMMENT_BJHMEK9YJN,Susan's Reviews,"Dec 05, 2021 10:01PM","I really loved your review on this one, Joanna and I am ordering a copy of it right after I hit the comment button here. Excellent, heartfelt review: SOLD: this is on my TBR list!"
COMMENT_BJHMEK9YJN,Joanna Chu (The ChuseyReader),"Dec 06, 2021 01:50AM",Omg Susan that means so much thank you! I'm excited to hear what you think!!!
COMMENT_DLHM9VXTU3,Miya (ugly crying thanks to the Duffer Brothers),"May 07, 2022 08:19PM",I'm so glad you enjoyed this! I bought I for my mom for mother's day. Thanks for giving me a tip on a great book! Fantastic review Liong!
COMMENT_DLHM9VXTU3,Liong,"May 07, 2022 09:18PM","Miya, I hope your mom likes it too. Thanks for your comment."
COMMENT_DLHM9VXTU3,Whitney Erwin,"May 08, 2022 02:56PM","Lovely review, Liong!"
COMMENT_DLHM9VXTU3,Liong,"May 08, 2022 05:32PM","Thank you, Whitney Erwin."
COMMENT_DLHM9VXTU3,Ellie,"May 10, 2022 09:59AM","Ohh I will have to check this one out, I am so glad you loved it Liong! Great review! 😊"
COMMENT_DLHM9VXTU3,Liong,"May 10, 2022 05:01PM",Sure Ellie. Thanks 😊
COMMENT_DLHM9VXTU3,Elyse,"May 29, 2022 01:03AM",🧡💓❤️
COMMENT_DLHM9VXTU3,Liong,"May 30, 2022 07:31PM",Thanks Elyse and Ellie
COMMENT_SIAY5XPMI2,Teck Wu,"Apr 22, 2022 10:49AM",One of my fav books
COMMENT_SIAY5XPMI2,Carmen,"Apr 22, 2022 11:25AM",Great review.
COMMENT_SIAY5XPMI2,Barry,"Apr 28, 2022 02:11AM",Completely agree. A fabulous book and a great surprise.
COMMENT_OWVYU53O1B,Mahbuba,"Jul 27, 2021 12:46AM",Splendid review 💗
COMMENT_OWVYU53O1B,~Rajeswari~,"Jul 27, 2021 12:47AM",You make it sound like a therapy session!Amazing review!Eternal peace-Master Oogway🌸
COMMENT_OWVYU53O1B,Maisha,"Jul 27, 2021 01:14AM",Beautiful review.
COMMENT_OWVYU53O1B,chaity,"Jul 27, 2021 02:32AM","Mahbuba wrote: ""Splendid review 💗""thank youu 💖"
COMMENT_OWVYU53O1B,chaity,"Jul 27, 2021 02:33AM","~Rajeswari~ wrote: ""You make it sound like a therapy session!Amazing review!Eternal peace-Master Oogway🌸""anything for you bro! thank you 😊"
COMMENT_OWVYU53O1B,chaity,"Jul 27, 2021 02:33AM","Maisha wrote: ""Beautiful review.""TYSM, Maisha <3"
COMMENT_OWVYU53O1B,Lauren,"Jul 27, 2021 10:23AM",What book is this Japanese boy with his blue robot cat that you speak of???
COMMENT_OWVYU53O1B,chaity,"Jul 27, 2021 10:45AM","Lauren wrote: ""What book is this Japanese boy with his blue robot cat that you speak of???""not a book. i was talking about Doraemon. the japanese boy being Nobita 😅"
COMMENT_DKCKNSB921,chaity,"Jul 23, 2021 07:29AM",AAJJSSJISWI so glad you loved it more than i did. not fair. and what a stunning and detailed review! 💖
COMMENT_DKCKNSB921,Mahbuba,"Jul 23, 2021 09:20AM",The letters were life - truer words have never been said 🥺
COMMENT_DKCKNSB921,Maisha,"Jul 25, 2021 02:56AM","Chaity wrote: ""AAJJSSJISWI so glad you loved it more than i did. not fair. and what a stunning and detailed review! 💖""Thanks a lot Chaity.💚 Good luck for your next read."
COMMENT_DKCKNSB921,Maisha,"Jul 25, 2021 02:57AM","Mahbuba wrote: ""The letters were life - truer words have never been said 🥺""Yeah. The whole time, my eyes were literally thirsty to read more and more letters."
COMMENT_DKCKNSB921,Cassie,"Sep 29, 2021 03:28PM",This is a great review! I can't wait to read this book now :)
COMMENT_DKCKNSB921,Maisha,"Sep 30, 2021 08:00AM","@Cassie, you should. It is a really good book. Happy reading!Tysm. 😊"
COMMENT_DKCKNSB921,Cassie,"Sep 30, 2021 07:43PM",You're welcome!
COMMENT_JF2EPKMYOH,Mahbuba,"Jul 23, 2021 06:57AM",This time l'm the crybaby. Cheers!
COMMENT_JF2EPKMYOH,~Rajeswari~,"Jul 23, 2021 07:06AM","Mahbuba wrote: ""This time l'm the crybaby. Cheers!""It’s ok to be a crybaby.#NormalizeCryBaby"
COMMENT_JF2EPKMYOH,chaity,"Jul 23, 2021 07:27AM","beautiful review, crybaby. *proceeds to procrastinate writing her own review*"
COMMENT_JF2EPKMYOH,~Rajeswari~,"Jul 23, 2021 07:37AM","Chaity wrote: ""beautiful review, crybaby. *proceeds to procrastinate writing her own review*""Sheeshh i am not the crybaby anymore!!!Don’t worry about procrastination.It takes a lot of time to write something worthy 😌💜💜"
